quiz_id	week_id
Hello	1
Aisatsu	1
Moyo1	1
Puzzle1	1
Machigai	1
Name	1
Takudai3	1
Hello3	1
Machigai2	1
Bonjour	1
Moyo2	1
Symbols	1
Tab	1
Calc1	2
Calc2	2
Syntax1	2
Calc3	2
Calc10	2
DivMod	2
CalcTable1	2
CalcBig	2
Daikei1	2
CalcJotei	2
Puzzle22	2
Calc4	2
Quiz3b	2
MachigaiLong	2
Var1	3
Var11	3
Syntax2	3
Var2	3
Gokei	3
Heikin3	3
Plus100	3
Puzzle33	3
KyuTaiseki	3
Keisan	3
Puzzle2	3
Var4	3
MachigaiVar	3
Tax10	3
Machigai4	3
HowOldAreYou	4
HowOldAreYou2	4
Syntax3	4
Order	4
Machigai4b	4
Twice	4
Puzzle3b	4
Average	4
Dice	4
Quiz32	4
Moyo4	4
Quiz31	4
Puzzle3	4
Daritsu	4
Digit10b	4
Language	5
Kouka500	5
Syntax4	5
Calc5	5
Diagonal	5
Kouka	5
Ransu	5
Tax10b	5
Machigai5b	5
Digit10c	5
Digit10d	5
IntegerDecimal	5
Floor1	5
Kasa1	6
Kasa2	6
Kasa3	6
Syntax5	6
Sign	6
Even	6
Narabekae2	6
Urudosi	6
Narabekae3	6
Nenrei	6
Puzzle5	6
Translate	6
Aisatsu2	6
Kasa4	6
Omikuji	6
Kouka2	6
Urudosi0	7
Urudosi1	7
Urudosi2	7
Syntax6	7
Baisu1	7
Ransu1	7
Shiharai	7
Puzzle6	7
Saidai	7
Baisu2	7
CountPositive1	7
NegMod	7
Round1	7
Digit100d	7
Count2	9
Count2a	9
Syntax7	9
Count3	9
Ransu2	9
MensekiTaiseki	9
Moyo5	9
Kuku1	9
Kuku2	9
Urudosi3	9
Puzzle7	9
Puzzle8	9
Puzzle8a	9
Machigai7	9
Moyo5a	9
Digit100e	9
Puzzle9	10
CommaDelim	10
Syntax8	10
CountRandomNumbers	10
MonteCarlo	10
Goukei2	10
Max2	10
Yakusuu	10
Bar5	10
CountPositive	10
Digit100f	10
Sqrt	10
ToBinary	10
RainFall	10
NumOfDigits	10
Heikin4	11
Heikin6	11
Syntax9	11
Hoyuritu	11
Puzzle11a	11
PrintPositive	11
Reverse	11
Puzzle11b	11
DoubleAll	11
Machigai8	11
Evens	11
ArgumentTest	11
Lookup2	11
Series	11
Kouka3	11
Puzzle10	11
Puzzle12a	13
Machigai12	13
Syntax10	13
Puzzle12b	13
Dice2	13
Goukei3	13
Max5	13
Shuffle	13
Puzzle11	13
Puzzle12c	13
SortData	13
Graph14	13
Eto	13
MatVariance	13
Floor2	5
Basho1	1
Machigai1	1
DecimalToBinary	2
MachigaiTriangle	2
HoursAndMinutes	2
CalcBig2	3
EnsuiTaiseki	3
CalcBig3	5
RansuRange	5
HowOldAreYou3	4
PowerOfTwo	4
OddsEvens	11
RandomArray	11
BinaryNumber	11
Bmi	6
Narabekae3b	7
