QUIZ_ID	NO	COMMANDLINEARGS	STANDARDINPUTS
Aisatsu	1	NULL	NULL
Aisatsu2	1	NULL	11
Aisatsu2	2	NULL	13
Aisatsu2	3	NULL	0
Aisatsu2	4	NULL	18
Aisatsu2	5	NULL	19
Aisatsu2	6	NULL	23
Aisatsu2	7	NULL	24
Aisatsu2	8	NULL	-1
ArgumentTest	1	拓殖太郎	NULL
ArgumentTest	2	拓殖太郎 高尾二郎 茗荷谷花子	NULL
ArgumentTest	3	Paul John George Ringo	NULL
Average	1	NULL	2 8
Average	2	NULL	1573 13
Average	3	NULL	5 5
Average	4	NULL	3 12
Baisu1	1	NULL	218403
Baisu1	2	NULL	218490
Baisu1	3	NULL	218401
Baisu1	4	NULL	218402
Baisu2	1	NULL	6
Baisu2	2	NULL	28
Baisu2	3	NULL	4
Baisu2	4	NULL	81
Baisu2	5	NULL	49
Baisu2	6	NULL	42
Baisu2	7	NULL	21
Baisu2	8	NULL	55
Bar5	1	NULL	24
Bar5	2	NULL	15
Bar5	3	NULL	37
Bar5	4	NULL	1
Basho1	1		
BinaryNumber	1	1 0 1	
BinaryNumber	2	1 0 1 0 1	
Bmi	1		170 80
Bmi	2		150 40
Bmi	3		170 65
Bmi	4		-180 90
Bmi	5		0 80
Bmi	6		145 -45
Bonjour	1	NULL	NULL
Calc1	1	NULL	NULL
Calc10	1	NULL	NULL
Calc2	1	NULL	NULL
Calc3	1	NULL	NULL
Calc4	1	NULL	NULL
Calc5	1	NULL	5 2
Calc5	2	NULL	3 11
CalcBig	1	NULL	NULL
CalcBig2	1		
CalcBig3	1		100000 100000
CalcBig3	2		200 30000000000
CalcBig3	3		4000000000 5000
CalcJotei	1	NULL	NULL
CalcTable1	1	NULL	NULL
CommaDelim	1	NULL	10
CommaDelim	2	NULL	5
CommaDelim	3	NULL	7
CommaDelim	4	NULL	1
Count2	1	NULL	NULL
Count2a	1	NULL	NULL
Count3	1	NULL	NULL
CountPositive	1	NULL	5 -2 6 -3 4
CountPositive	2	NULL	0 1 2 3 4
CountPositive	3	NULL	1 1 1 1 1
CountPositive	4	NULL	-1 -2 -3 0 -4
CountPositive1	1	NULL	1 2 3 4 5
CountPositive1	2	NULL	1 0 5 -2 3
CountPositive1	3	NULL	0 -1 0 0 0
CountPositive1	4	NULL	-1 2 -3 4 -5
CountRandomNumbers	1	NULL	5
CountRandomNumbers	2	NULL	10
CountRandomNumbers	3	NULL	100
CountRandomNumbers	4	NULL	1000
Daikei1	1	NULL	NULL
Daritsu	1	NULL	108 27
Daritsu	2	NULL	150 36
Daritsu	3	NULL	225 72
Daritsu	4	NULL	43650 9603
DecimalToBinary	1		
Diagonal	1	NULL	3 4
Diagonal	2	NULL	12 5
Diagonal	3	NULL	741 580
Dice	1	NULL	NULL
Dice	2	NULL	NULL
Dice2	1	NULL	100
Dice2	2	NULL	10000000
Digit100d	1	NULL	156
Digit100d	2	NULL	99
Digit100d	3	NULL	234
Digit100d	4	NULL	100
Digit100e	1	NULL	123
Digit100e	2	NULL	98765
Digit100e	3	NULL	1234567890
Digit100e	4	NULL	10000
Digit100f	1	NULL	123
Digit100f	2	NULL	98765
Digit100f	3	NULL	1234567890
Digit100f	4	NULL	10000
Digit10b	1	NULL	123
Digit10b	2	NULL	56
Digit10b	3	NULL	4789
Digit10b	4	NULL	7
Digit10c	1	NULL	123
Digit10c	2	NULL	952
Digit10c	3	NULL	56
Digit10c	4	NULL	7
Digit10d	1	NULL	123 2
Digit10d	2	NULL	98765 4
Digit10d	3	NULL	1234567890 7
Digit10d	4	NULL	10000 3
DivMod	1	NULL	NULL
DoubleAll	1	5 3 6 1 2	NULL
DoubleAll	2	1 2 3 4 5 6 7 8 9	NULL
DoubleAll	3	5	NULL
EnsuiTaiseki	1		
Eto	1	NULL	2020
Eto	2	NULL	2021
Eto	3	NULL	1962
Eto	4	NULL	1972
Eto	5	NULL	1982
Eto	6	NULL	1992
Eto	7	NULL	2002
Eto	8	NULL	2001
Even	1	NULL	5
Even	2	NULL	8
Even	3	NULL	101
Even	4	NULL	0
Evens	1	2 4 1 6 3	NULL
Evens	2	1 3 5 7 9	NULL
Evens	3	0 3 10 6 4 5 3 2	NULL
Floor1	1	NULL	1.111
Floor1	2	NULL	3.1415
Floor1	3	NULL	12.3
Floor1	4	NULL	123.0
Floor2	1		123 1
Floor2	2		987654 3
Floor2	3		123456789 6
Floor2	4		1000 3
Gokei	1	NULL	NULL
Goukei2	1	NULL	5 4 7 3 2 6
Goukei2	2	NULL	3 -1 -3 5
Goukei2	3	NULL	10 0 0 0 0 0 0 0 0 0 0
